City_ID,City,Country,Max Temp,Current Description,Lat,Lng,Hotel Name
0,Chicama,PE,59.54,Clouds,-7.8447,-79.1469,Balihai Bungalows
1,Bredasdorp,ZA,74.28,Clouds,-34.5322,20.0403,Bredasdorp Country Manor
3,Busselton,AU,50.04,Clouds,-33.65,115.3333,Observatory Guest House
6,Rikitea,PF,74.84,Clouds,-23.1203,-134.9692,People ThankYou
10,Bethel,US,61.5,Rain,41.3712,-73.414,Courtyard by Marriott Danbury
11,Vaini,TO,71.76,Clouds,-21.2,-175.2,Keleti Beach Resort
12,Pisco,PE,65.01,Mist,-13.7,-76.2167,Hotel San Isidro Oficial
14,Bambous Virieux,MU,75.45,Clouds,-20.3428,57.7575,Casa Tia Villa
15,Biak,ID,76.6,Clouds,-0.9131,122.8766,Penginapan Kim
16,Santa Ana,US,67.77,Haze,33.7456,-117.8678,Santa Ana Travel Inn
17,Mar Del Plata,AR,78.82,Clear,-38.0023,-57.5575,Gran Hotel Mar del Plata
18,Makakilo City,US,71.29,Clear,21.3469,-158.0858,Marriott's Ko Olina Beach Club
19,Mataura,NZ,51.33,Clouds,-46.1927,168.8643,Ellie's Villa
20,Kieta,PG,79.11,Rain,-6.2167,155.6333,Uruna Bay Retreat
22,Geraldton,AU,61.21,Clear,-28.7667,114.6,Broadwater Mariner Resort
24,Faya,SA,70.32,Clouds,18.3851,42.4509,املاك خالد الشعشوع
25,Albany,US,55.22,Clouds,42.6001,-73.9662,
26,Russell,US,57.06,Clouds,32.3502,-85.1999,Macs
27,Cape Town,ZA,72.1,Clear,-33.9258,18.4232,Southern Sun Waterfront Cape Town
28,Avarua,CK,71.65,Clouds,-21.2078,-159.775,Paradise Inn
29,Kapaa,US,71.58,Clear,22.0752,-159.319,Sheraton Kauai Coconut Beach Resort
33,Poum,NC,74.53,Clear,-20.2333,164.0167,Gîte kajeon
34,Lebu,CL,54.81,Clouds,-37.6167,-73.65,Hostal Las Lilas
37,Souillac,MU,75.58,Clouds,-20.5167,57.5167,Shanti Maurice Resort & Spa
38,Byron Bay,AU,68.88,Clouds,-28.65,153.6167,Backpackers Inn on the Beach
39,Saint-Philippe,RE,74.79,Clouds,-21.3585,55.7679,"Chambres d'hôte ""La Trinité"""
45,Predejane,RS,58.71,Clear,42.8294,22.1311,Prenoćište Konak Iris
46,Ponta Delgada,PT,76.5,Clouds,37.7333,-25.6667,Vila Nova Hotel
53,Kawalu,ID,73.44,Clouds,-7.3817,108.2082,KOSAN UNGU UNSIK
57,Alofi,NU,73.29,Clouds,-19.0595,-169.9187,Taloa Heights
58,Tezu,IN,67.17,Clear,27.9167,96.1667,Circuit House
60,Castro,BR,73.36,Clouds,-24.7911,-50.0119,CHACARA BAILLY
61,Port Alfred,ZA,68.7,Clear,-33.5906,26.891,The Halyards Hotel
64,Penzance,GB,57.27,Clouds,50.1186,-5.5371,Artist Residence Penzance
