City_ID,City,Country,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Current Description
0,Chicama,PE,-7.8447,-79.1469,59.54,65,76,6.31,Clouds
1,Bredasdorp,ZA,-34.5322,20.0403,74.28,60,28,9.22,Clouds
2,Marrakesh,MA,31.6315,-8.0083,84.27,24,0,6.91,Clear
3,Busselton,AU,-33.65,115.3333,50.04,90,57,7.76,Clouds
4,Urengoy,RU,65.9667,78.3667,13.89,95,99,10.78,Clouds
5,Ponta Do Sol,PT,32.6667,-17.1,80.01,74,93,9.75,Clouds
6,Rikitea,PF,-23.1203,-134.9692,74.84,83,78,21.23,Clouds
7,Leningradskiy,RU,69.3833,178.4167,-7.26,97,100,5.97,Clouds
8,Yenagoa,NG,4.9247,6.2642,83.01,80,100,3.94,Rain
9,Khatanga,RU,71.9667,102.5,2.95,95,100,1.95,Clouds
10,Bethel,US,41.3712,-73.414,61.5,96,90,4.0,Rain
11,Vaini,TO,-21.2,-175.2,71.76,94,20,8.05,Clouds
12,Pisco,PE,-13.7,-76.2167,65.01,88,90,4.61,Mist
13,San Andres,CO,12.5847,-81.7006,86.02,74,90,6.91,Clouds
14,Bambous Virieux,MU,-20.3428,57.7575,75.45,73,40,5.75,Clouds
15,Biak,ID,-0.9131,122.8766,76.6,86,71,2.73,Clouds
16,Santa Ana,US,33.7456,-117.8678,67.77,89,90,3.44,Haze
17,Mar Del Plata,AR,-38.0023,-57.5575,78.82,65,0,9.22,Clear
18,Makakilo City,US,21.3469,-158.0858,71.29,85,1,0.0,Clear
19,Mataura,NZ,-46.1927,168.8643,51.33,56,14,6.29,Clouds
20,Kieta,PG,-6.2167,155.6333,79.11,82,90,4.74,Rain
21,Ushuaia,AR,-54.8,-68.3,49.62,49,0,21.85,Clear
22,Geraldton,AU,-28.7667,114.6,61.21,72,0,8.05,Clear
23,Shigony,RU,53.3875,48.6777,47.41,86,78,11.36,Clouds
24,Faya,SA,18.3851,42.4509,70.32,31,64,7.09,Clouds
25,Albany,US,42.6001,-73.9662,55.22,93,100,7.14,Clouds
26,Russell,US,32.3502,-85.1999,57.06,80,90,11.5,Clouds
27,Cape Town,ZA,-33.9258,18.4232,72.1,53,0,4.0,Clear
28,Avarua,CK,-21.2078,-159.775,71.65,73,20,9.22,Clouds
29,Kapaa,US,22.0752,-159.319,71.58,100,1,8.05,Clear
30,Longyearbyen,SJ,78.2186,15.6401,19.24,79,20,9.22,Clouds
31,Prince George,CA,53.9166,-122.753,22.28,94,1,4.61,Clear
32,Saskylakh,RU,71.9167,114.0833,5.43,93,100,10.8,Clouds
33,Poum,NC,-20.2333,164.0167,74.53,76,2,6.08,Clear
34,Lebu,CL,-37.6167,-73.65,54.81,68,84,20.58,Clouds
35,Tilichiki,RU,60.4667,166.1,8.13,96,55,7.43,Clouds
36,Tuktoyaktuk,CA,69.4541,-133.0374,23.0,93,90,9.22,Clouds
37,Souillac,MU,-20.5167,57.5167,75.58,73,40,5.75,Clouds
38,Byron Bay,AU,-28.65,153.6167,68.88,93,100,9.82,Clouds
39,Saint-Philippe,RE,-21.3585,55.7679,74.79,81,62,6.04,Clouds
40,Narsaq,GL,60.9167,-46.05,32.22,68,73,4.25,Clouds
41,Butaritari,KI,3.0707,172.7902,81.64,77,92,7.54,Rain
42,Dikson,RU,73.5069,80.5464,8.65,90,100,16.62,Clouds
43,Iisalmi,FI,63.5592,27.1907,46.42,92,100,7.49,Clouds
44,Santa Fe,AR,-31.6333,-60.7,94.75,42,6,7.0,Clear
45,Predejane,RS,42.8294,22.1311,58.71,56,0,2.26,Clear
46,Ponta Delgada,PT,37.7333,-25.6667,76.5,88,75,17.27,Clouds
47,Chokurdakh,RU,70.6333,147.9167,-8.19,96,100,6.69,Clouds
48,Nikolskoye,RU,59.7035,30.7861,46.87,90,70,6.51,Clouds
49,Srednekolymsk,RU,67.45,153.6833,-6.56,99,100,3.53,Clouds
50,Maniitsoq,GL,65.4167,-52.9,35.06,85,100,24.07,Clouds
51,Acapulco,MX,16.8634,-99.8901,80.92,75,2,1.39,Clear
52,Katherine,AU,-14.4667,132.2667,80.92,74,40,4.61,Clouds
53,Kawalu,ID,-7.3817,108.2082,73.44,98,100,0.54,Clouds
54,Santa Luzia,BR,-19.7697,-43.8514,86.14,52,75,9.22,Clouds
55,Hovd,MN,48.0056,91.6419,35.13,50,73,5.01,Clouds
56,Tiksi,RU,71.6872,128.8694,-3.28,98,100,7.05,Clouds
57,Alofi,NU,-19.0595,-169.9187,73.29,78,100,4.61,Clouds
58,Tezu,IN,27.9167,96.1667,67.17,58,0,4.32,Clear
59,Vila Do Maio,CV,15.1333,-23.2167,83.19,77,95,16.89,Clouds
60,Castro,BR,-24.7911,-50.0119,73.36,63,46,8.25,Clouds
61,Port Alfred,ZA,-33.5906,26.891,68.7,74,0,18.28,Clear
62,Hilo,US,19.7297,-155.09,80.28,68,20,6.91,Clouds
63,Tasiilaq,GL,65.6145,-37.6368,26.76,65,18,7.02,Clouds
64,Penzance,GB,50.1186,-5.5371,57.27,67,20,13.8,Clouds
65,Richards Bay,ZA,-28.783,32.0377,66.99,83,98,14.9,Rain
66,New Norfolk,AU,-42.7826,147.0587,50.72,60,79,5.01,Clouds
67,Saint George,US,37.1041,-113.5841,65.53,76,1,0.0,Clear
68,Georgetown,MY,5.4112,100.3354,78.73,93,40,4.61,Clouds
69,Fortuna,US,40.5982,-124.1573,58.35,76,90,0.0,Clouds
70,Hithadhoo,MV,-0.6,73.0833,83.48,75,53,15.99,Clouds
71,Mangrol,IN,21.1167,70.1167,79.92,54,75,3.87,Clouds
72,Punta Arenas,CL,-53.15,-70.9167,50.11,46,0,21.85,Clear
73,Tautira,PF,-17.7333,-149.15,75.22,77,26,15.5,Rain
74,Sitka,US,57.0531,-135.33,44.49,70,75,9.22,Clouds
75,Saldanha,ZA,-33.0117,17.9442,65.1,75,95,15.66,Clouds
76,Wonthaggi,AU,-38.6044,145.5913,48.2,77,21,8.01,Clouds
77,Hermanus,ZA,-34.4187,19.2345,74.8,70,31,12.44,Clouds
78,Kaitangata,NZ,-46.2817,169.8464,51.15,82,85,5.01,Clouds
79,Parole,US,38.9796,-76.5305,62.22,85,20,7.0,Clouds
80,Salalah,OM,17.0151,54.0924,82.49,69,20,6.91,Clouds
81,Tabou,CI,4.423,-7.3528,80.19,81,100,8.21,Rain
82,Atambua,ID,-9.1061,124.8925,77.97,78,100,1.36,Clouds
83,Jamestown,US,42.097,-79.2353,50.29,100,90,1.01,Clouds
84,Quatre Cocos,MU,-20.2078,57.7625,75.31,75,51,2.98,Clouds
85,Sept-Iles,CA,50.2001,-66.3821,50.43,67,20,1.99,Clouds
86,Barrow,US,71.2906,-156.7887,14.02,79,90,4.61,Clouds
87,Hambantota,LK,6.1241,81.1185,79.93,81,98,6.35,Clouds
88,Mahebourg,MU,-20.4081,57.7,75.49,73,40,5.75,Clouds
89,Qaanaaq,GL,77.484,-69.3632,1.98,54,0,8.68,Clear
90,Chuy,UY,-33.6971,-53.4616,72.73,69,98,14.38,Clouds
91,Hobart,AU,-42.8794,147.3294,51.06,69,40,4.0,Clouds
92,Kindu,CD,-2.95,25.95,79.52,87,100,1.61,Rain
93,La Macarena,CO,2.1837,-73.7849,81.64,71,81,3.51,Clouds
94,Bandarbeyla,SO,9.4942,50.8122,79.2,78,9,12.62,Rain
95,Yellowknife,CA,62.456,-114.3525,27.41,100,90,12.66,Clouds
96,Kodiak,US,57.79,-152.4072,47.71,87,90,24.16,Rain
97,Nagorsk,RU,59.3172,50.8078,40.51,99,100,6.55,Clouds
98,Santa Isabel,BR,-23.3156,-46.2214,78.66,68,96,7.2,Clouds
99,Guerrero Negro,MX,27.9769,-114.0611,66.13,80,0,4.5,Clear
100,Whitianga,NZ,-36.8333,175.7,62.02,97,100,12.35,Rain
101,Cap Malheureux,MU,-19.9842,57.6142,75.69,77,3,1.01,Clear
102,Zhigansk,RU,66.7697,123.3711,-4.88,99,81,11.48,Clouds
103,Esperance,AU,-33.8667,121.9,56.98,69,0,16.78,Clear
104,Cabo San Lucas,MX,22.8909,-109.9124,79.52,73,26,5.86,Clouds
105,Faanui,PF,-16.4833,-151.75,77.83,72,7,17.65,Rain
106,Coari,BR,-4.085,-63.1414,90.91,53,75,1.74,Clouds
107,Nizhniy Odes,RU,63.6445,54.856,24.69,90,100,1.88,Clouds
108,Atuona,PF,-9.8,-139.0333,77.36,69,18,15.93,Clouds
109,Matara,LK,5.9485,80.5353,77.74,91,99,5.93,Clouds
110,Yabrud,SY,33.9674,36.6574,65.86,47,84,1.7,Clouds
111,Codrington,AU,-38.2667,141.9667,43.07,91,0,6.96,Clear
112,Chernyshevskiy,RU,63.0128,112.4714,24.44,96,100,7.14,Snow
113,Port Lincoln,AU,-34.7333,135.8667,52.27,69,5,8.1,Clear
114,Ilulissat,GL,69.2167,-51.1,33.82,60,75,9.22,Snow
115,Lavrentiya,RU,65.5833,-171.0,9.95,78,51,5.73,Clouds
116,Manthani,IN,18.65,79.6667,76.8,76,36,5.21,Clouds
117,Bindi,SL,9.9167,-11.45,71.73,97,100,1.92,Clouds
118,Sao Jose Da Coroa Grande,BR,-8.8978,-35.1478,82.58,57,9,8.59,Clear
119,Bluff,NZ,-46.6,168.3333,53.87,60,12,18.1,Clouds
120,Abha,SA,18.2164,42.5053,70.05,20,0,11.5,Clear
121,Mount Isa,AU,-20.7333,139.5,80.37,18,100,10.36,Clouds
122,Kattivakkam,IN,13.2167,80.3167,82.15,79,82,9.44,Clouds
123,Arraial Do Cabo,BR,-22.9661,-42.0278,75.06,73,90,10.36,Clouds
124,Sao Joao Da Barra,BR,-21.6403,-41.0511,77.09,84,100,12.5,Clouds
125,Upernavik,GL,72.7868,-56.1549,23.52,57,100,6.85,Clouds
126,Dubbo,AU,-32.25,148.6167,41.13,65,0,8.05,Clear
127,Sabang,ID,5.8933,95.3214,81.7,75,100,4.83,Clouds
128,Sistranda,NO,63.7256,8.834,52.9,82,88,7.43,Clouds
129,Sao Miguel Do Araguaia,BR,-13.275,-50.1628,95.85,32,12,9.31,Clouds
130,Badian,PH,9.8647,123.3964,80.01,84,99,10.96,Clouds
131,Choya,RU,52.0108,86.5467,37.15,97,100,2.98,Rain
132,Santa Cruz De La Palma,ES,28.6835,-17.7642,75.34,60,20,4.61,Ash
133,Kavaratti,IN,10.5669,72.642,82.36,69,100,2.3,Clouds
134,Dong Hoi,VN,17.4833,106.6,76.37,90,99,7.54,Clouds
135,Clyde River,CA,70.4692,-68.5914,32.23,100,90,14.97,Snow
136,Pindiga,NG,9.9833,10.9333,93.34,18,80,4.38,Clouds
137,Talnakh,RU,69.4865,88.3972,18.16,96,100,4.34,Snow
138,Ilave,PE,-16.0833,-69.6667,58.33,39,75,8.08,Clouds
139,Kavieng,PG,-2.5744,150.7967,83.39,75,75,12.35,Clouds
140,Okha,RU,53.5739,142.9478,30.16,61,88,16.44,Clouds
141,Luderitz,NA,-26.6481,15.1594,70.66,57,0,13.11,Clear
142,Lorengau,PG,-2.0226,147.2712,82.4,78,100,6.26,Clouds
143,Puerto Ayora,EC,-0.7393,-90.3518,75.16,82,85,8.72,Clouds
144,Mahuva,IN,21.0914,71.7622,79.52,42,70,10.6,Clouds
145,Beringovskiy,RU,63.05,179.3167,10.38,95,100,18.7,Clouds
146,Barlinek,PL,52.9946,15.2186,55.9,50,63,10.56,Clouds
147,Vardo,NO,70.3705,31.1107,37.51,76,46,15.21,Clouds
148,Ancud,CL,-41.8697,-73.8203,54.93,45,1,6.11,Clear
149,Bac Lieu,VN,9.285,105.7244,80.15,85,91,11.79,Clouds
150,East London,ZA,-33.0153,27.9116,67.14,77,20,16.11,Clouds
151,Bintulu,MY,3.1667,113.0333,77.41,94,40,3.44,Clouds
152,Aswan,EG,24.0934,32.907,95.38,20,84,5.12,Clouds
153,Ahuimanu,US,21.4447,-157.8378,72.46,82,1,0.0,Clear
154,Port Macquarie,AU,-31.4333,152.9167,58.89,94,75,12.66,Rain
155,Caravelas,BR,-17.7125,-39.2481,83.34,55,60,8.95,Clouds
156,Ahipara,NZ,-35.1667,173.1667,62.47,96,100,17.6,Rain
157,Cabedelo,BR,-6.9811,-34.8339,88.47,62,33,13.62,Clouds
158,Nuuk,GL,64.1835,-51.7216,41.61,65,75,19.57,Clouds
159,Victoria,HK,22.2855,114.1577,75.25,84,58,1.01,Rain
160,Sukhumi,GE,43.0033,41.0153,56.48,78,50,3.85,Clouds
161,Provideniya,RU,64.3833,-173.3,13.78,84,98,11.54,Clouds
162,Araouane,ML,18.9048,-3.5265,97.88,15,100,10.51,Clouds
163,Aberdeen,GB,57.1437,-2.0981,52.48,96,20,2.3,Clouds
164,Port Elizabeth,ZA,-33.918,25.5701,69.1,72,0,16.11,Clear
165,Polunochnoye,RU,60.8697,60.4153,21.47,98,93,3.71,Clouds
166,Impfondo,CG,1.6381,18.0667,84.43,62,82,1.86,Clouds
167,Mamlyutka,KZ,54.9375,68.5394,29.68,90,100,14.72,Snow
168,Osterburg,DE,52.7833,11.7667,56.5,56,98,8.52,Clouds
169,Carnarvon,AU,-24.8667,113.6333,69.87,60,0,19.57,Clear
170,Maceio,BR,-9.6658,-35.7353,87.24,54,75,5.75,Clouds
171,Haines Junction,CA,60.7522,-137.5108,33.75,64,100,8.05,Clouds
172,Nome,US,64.5011,-165.4064,6.87,85,1,0.0,Clear
173,Banda Aceh,ID,5.5577,95.3222,79.0,81,100,4.52,Clouds
174,Vao,NC,-22.6667,167.4833,70.54,75,21,8.5,Clouds
175,Shache,CN,38.4167,77.2406,53.8,26,1,5.46,Clear
176,Estacion Coahuila,MX,32.1939,-115.0017,68.97,43,0,7.45,Clear
177,Iqaluit,CA,63.7506,-68.5145,40.73,65,90,17.0,Rain
178,Kidal,ML,18.4411,1.4078,99.54,8,59,8.81,Clouds
179,Rokytne,UA,51.2796,27.214,53.02,54,4,9.62,Clear
180,Dehloran,IR,32.6941,47.2679,81.95,30,98,9.28,Clouds
181,Noumea,NC,-22.2763,166.4572,64.38,84,6,6.8,Clear
182,Dondo,MZ,-19.6094,34.7431,78.31,52,0,11.9,Clear
183,Coruripe,BR,-10.1256,-36.1756,83.84,55,28,10.69,Clouds
184,Campbell River,CA,50.0163,-125.2446,36.27,94,20,2.3,Clouds
185,Kharan,PK,28.5833,65.4167,74.03,15,0,9.48,Clear
186,Gorontalo,ID,0.5412,123.0595,75.87,95,97,3.33,Clouds
187,La Union,PE,-5.4,-80.75,76.26,53,52,6.29,Clouds
188,Okhotsk,RU,59.3833,143.3,13.21,70,2,18.84,Clear
189,Ocampo,MX,21.65,-101.5,58.37,54,2,1.45,Clear
190,Lompoc,US,34.6391,-120.4579,55.31,99,90,0.0,Mist
191,Los Llanos De Aridane,ES,28.6585,-17.9182,71.35,85,20,4.61,Ash
192,Terra Santa,BR,-2.1042,-56.4869,97.29,37,5,4.9,Clear
193,Najran,SA,17.4924,44.1277,77.65,27,0,10.76,Clear
194,Itarema,BR,-2.9248,-39.9167,85.19,59,49,14.58,Clouds
195,Pangnirtung,CA,66.1451,-65.7125,32.0,100,90,2.3,Snow
196,Rocha,UY,-34.4833,-54.3333,72.93,70,100,11.25,Clouds
197,Necochea,AR,-38.5473,-58.7368,61.03,61,57,15.95,Clouds
198,Cervo,ES,43.6702,-7.4101,66.2,70,100,8.63,Clouds
199,Lagoa,PT,39.05,-27.9833,70.03,90,100,26.66,Clouds
200,Tsogni,GA,-2.7942,10.0988,79.05,83,100,11.05,Rain
201,Suntar,RU,62.1444,117.6319,23.11,80,100,8.41,Clouds
202,Maragogi,BR,-9.0122,-35.2225,82.56,57,11,9.35,Clouds
203,Sola,VU,-13.8833,167.55,81.27,74,40,0.0,Clouds
204,Mitu,CO,1.1983,-70.1733,80.53,78,95,2.35,Clouds
205,Katobu,ID,-4.9408,122.5276,74.97,96,98,2.24,Clouds
206,Wilkie,CA,52.4168,-108.7014,25.18,82,0,11.39,Clear
207,Pavino,RU,59.1139,46.1414,43.21,89,100,5.95,Clouds
208,Barcelos,PT,41.5388,-8.6151,66.85,79,88,8.12,Clouds
209,College,US,64.8569,-147.8028,26.65,87,90,0.0,Clouds
210,At-Bashi,KG,41.1702,75.8106,28.02,55,4,4.29,Clear
211,Senanga,ZM,-16.1167,23.2667,86.88,34,47,14.0,Clouds
212,Severo-Kurilsk,RU,50.6789,156.125,39.58,83,10,15.88,Clear
213,Mweka,CD,-4.85,21.5667,80.96,64,93,2.84,Rain
214,Kruisfontein,ZA,-34.0033,24.7314,66.88,67,3,13.96,Clear
215,Cidreira,BR,-30.1811,-50.2056,71.49,75,83,20.76,Clouds
216,Thinadhoo,MV,0.5333,72.9333,84.04,73,76,13.71,Clouds
217,Margate,GB,51.3813,1.3862,58.03,72,91,1.99,Clouds
218,Fomboni,KM,-12.28,43.7425,78.69,66,1,2.73,Clear
219,Hoi An,VN,15.8794,108.335,76.96,89,24,1.88,Clouds
220,Norman Wells,CA,65.282,-126.8329,19.44,93,90,2.3,Snow
221,Varhaug,NO,58.6147,5.6457,55.89,85,100,25.05,Rain
222,Vrnjacka Banja,RS,43.6167,20.9,60.03,62,0,5.82,Clear
223,Grand Gaube,MU,-20.0064,57.6608,75.6,77,4,1.01,Clear
224,Fort Wellington,GY,6.4,-57.6,81.86,79,24,6.2,Clouds
225,Touros,BR,-5.1989,-35.4608,90.5,58,55,15.41,Clouds
226,Liku,ID,-0.7275,119.8922,74.59,94,91,2.59,Rain
227,Broome,US,42.2506,-75.833,53.71,82,90,1.01,Clouds
228,Pyay,MM,18.8167,95.2167,75.88,95,100,4.7,Clouds
229,Vanavara,RU,60.34,102.2797,34.36,87,100,13.18,Clouds
230,Poronaysk,RU,49.2167,143.1167,38.35,85,100,7.38,Rain
231,Ekibastuz,KZ,51.6667,75.3667,39.33,64,100,12.06,Clouds
232,Brejo Da Madre De Deus,BR,-8.1458,-36.3711,88.9,29,3,7.92,Clear
233,Rio Gallegos,AR,-51.6226,-69.2181,57.25,28,0,10.36,Clear
234,Camana,PE,-16.6228,-72.7111,68.58,73,81,6.67,Clouds
235,Klaksvik,FO,62.2266,-6.589,49.12,87,100,18.3,Clouds
236,Castle Rock,US,39.3722,-104.8561,59.25,26,2,1.99,Clear
237,Yumen,CN,40.2833,97.2,42.21,36,5,6.89,Clear
238,Mount Gambier,AU,-37.8333,140.7667,42.51,95,5,4.09,Clear
239,Kedainiai,LT,55.2883,23.9747,54.14,70,4,9.95,Clear
240,Ribeira Grande,PT,38.5167,-28.7,72.0,83,75,25.32,Clouds
241,Haapiti,PF,-17.5667,-149.8667,74.93,74,13,18.48,Clouds
242,Lerwick,GB,60.1545,-1.1494,51.8,84,100,25.5,Clouds
243,Nova Olimpia,BR,-14.7972,-57.2881,98.02,36,85,2.48,Clouds
244,Bilibino,RU,68.0546,166.4372,-8.93,98,100,1.34,Clouds
245,Sao Filipe,CV,14.8961,-24.4956,80.38,73,95,11.48,Clouds
246,Igarka,RU,67.4667,86.5833,8.44,97,94,7.7,Clouds
247,Talara,PE,-4.5772,-81.2719,75.96,64,0,12.66,Clear
248,Broken Hill,AU,-31.95,141.4333,55.27,29,79,7.78,Clouds
249,San Quintin,MX,30.4833,-115.95,64.36,85,0,3.98,Clear
250,Kahului,US,20.8947,-156.47,71.83,82,1,6.91,Clear
251,Gurupa,BR,-1.405,-51.64,91.11,49,79,2.01,Clouds
252,Menongue,AO,-14.6585,17.691,70.36,72,90,4.45,Rain
253,Gafanha Da Encarnacao,PT,40.6181,-8.733,68.05,85,95,9.31,Rain
254,Sangar,RU,63.9242,127.4739,-14.66,100,99,2.77,Clouds
255,Fort Nelson,CA,58.8053,-122.7002,20.79,68,1,5.75,Clear
256,Saravan,AM,39.7196,45.6483,39.85,91,100,3.06,Clouds
